index,title,budget,genres,id,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
50,Prince of Persia: The Sands of Time,150000000,Adventure Fantasy Action Romance,9543,en,62.169881,19-05-10,335154643,116,6.2,2317
51,Pacific Rim,180000000,Action Science Fiction Adventure,68726,en,56.523205,11-07-13,407602906,131,6.7,4794
52,Transformers: Dark of the Moon,195000000,Action Science Fiction Adventure,38356,en,28.529607,28-06-11,1123746996,154,6.1,3299
53,Indiana Jones and the Kingdom of the Crystal Skull,185000000,Adventure Action,217,en,75.674458,21-05-08,786636033,122,5.7,2495
54,The Good Dinosaur,175000000,Adventure Animation Family,105864,en,51.692953,14-11-15,331926147,93,6.6,1736
55,Brave,185000000,Animation Adventure Comedy Family Action,62177,en,125.114374,21-06-12,538983207,93,6.7,4641
56,Star Trek Beyond,185000000,Action Adventure Science Fiction,188927,en,65.352913,07-07-16,343471816,122,6.6,2568
57,WALL·E,180000000,Animation Family,10681,en,66.390712,22-06-08,521311860,98,7.8,6296
58,Rush Hour 3,140000000,Action Comedy Crime Thriller,5174,en,22.57178,08-08-07,258022233,91,6.1,783
59,2012,200000000,Action Adventure Science Fiction,14161,en,45.274225,10-10-09,769653595,158,5.6,4903
60,A Christmas Carol,200000000,Animation Drama,17979,en,39.744242,04-11-09,325233863,96,6.6,1095
61,Jupiter Ascending,176000003,Science Fiction Fantasy Action Adventure,76757,en,85.36908,04-02-15,183987723,124,5.2,2768
62,The Legend of Tarzan,180000000,Action Adventure,258489,en,42.741719,29-06-16,356743061,109,5.5,2430
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,Adventure Family Fantasy,411,en,67.391328,07-12-05,748806957,143,6.7,2629
64,X-Men: Apocalypse,178000000,Science Fiction,246655,en,139.272042,18-05-16,543934787,144,6.4,4721
65,The Dark Knight,185000000,Drama Action Crime Thriller,155,en,187.322927,16-07-08,1004558444,152,8.2,12002
66,Up,175000000,Animation Comedy Family Adventure,14160,en,92.201962,13-05-09,735099082,96,7.7,6870
67,Monsters vs Aliens,175000000,Animation Family Adventure Science Fiction,15512,en,36.167578,19-03-09,381509870,94,6,1423
68,Iron Man,140000000,Action Science Fiction Adventure,1726,en,120.725053,30-04-08,585174222,126,7.4,8776
69,Hugo,170000000,Adventure Drama Family,44826,en,32.319043,22-11-11,185770160,126,7,2141
70,Wild Wild West,170000000,Action Adventure Comedy Science Fiction Western,8487,en,40.748915,29-06-99,222104681,106,5.1,1020
71,The Mummy: Tomb of the Dragon Emperor,145000000,Adventure Action Fantasy,1735,en,60.034162,01-07-08,401128639,112,5.2,1387
72,Suicide Squad,175000000,Action Adventure Crime Fantasy Science Fiction,297761,en,90.23792,02-08-16,745000000,123,5.9,7458
73,Evan Almighty,175000000,Fantasy Comedy Family,2698,en,27.082182,09-06-07,173000000,96,5.3,1151
74,Edge of Tomorrow,178000000,Action Science Fiction,137113,en,79.456485,27-05-14,370541256,113,7.6,4858
75,Waterworld,175000000,Adventure Action,9804,en,44.640292,28-07-95,264218220,135,5.9,992
76,G.I. Joe: The Rise of Cobra,175000000,Adventure Action Thriller Science Fiction,14869,en,32.852443,04-08-09,302469017,118,5.6,1962
77,Inside Out,175000000,Drama Comedy Animation Family,150540,en,128.655964,09-06-15,857611174,94,8,6560
78,The Jungle Book,175000000,Family Adventure Drama Fantasy,278927,en,94.199316,07-04-16,966550600,106,6.7,2892
79,Iron Man 2,200000000,Adventure Action Science Fiction,10138,en,77.300194,28-04-10,623933331,124,6.6,6849
80,Snow White and the Huntsman,170000000,Adventure Fantasy Drama,58595,en,77.178973,30-05-12,396600000,127,5.8,3118
81,Maleficent,180000000,Fantasy Adventure Action Family Romance,102651,en,110.620647,28-05-14,758539785,97,7,4496
82,Dawn of the Planet of the Apes,170000000,Science Fiction Action Drama Thriller,119450,en,243.791743,26-06-14,710644566,130,7.3,4410
83,The Lovers,27000000,Action Adventure Science Fiction Romance,79698,en,2.418535,13-02-15,0,109,4.8,34
84,47 Ronin,175000000,Drama Action Adventure Fantasy,64686,en,41.796339,06-12-13,150962475,119,5.9,1326
85,Captain America: The Winter Soldier,170000000,Action Adventure Science Fiction,100402,en,72.225265,20-03-14,714766572,136,7.6,5764
86,Shrek Forever After,165000000,Comedy Adventure Fantasy Animation Family,10192,en,44.041186,16-05-10,752600867,93,6,1959
87,Tomorrowland,190000000,Adventure Family Mystery Science Fiction,158852,en,130.311355,19-05-15,209154322,130,6.2,2846
88,Big Hero 6,165000000,Adventure Family Animation Action Comedy,177572,en,203.73459,24-10-14,652105443,102,7.8,6135
89,Wreck-It Ralph,165000000,Family Animation Comedy Adventure,82690,en,62.341073,01-11-12,471222889,108,7.1,4570
90,The Polar Express,165000000,Adventure Animation Family Fantasy,5255,en,47.323228,10-11-04,305875730,100,6.4,1474
91,Independence Day: Resurgence,165000000,Action Adventure Science Fiction,47933,en,48.775723,22-06-16,389681935,120,4.9,2491
92,How to Train Your Dragon,165000000,Fantasy Adventure Animation Family,10191,en,67.263269,05-03-10,494878759,98,7.5,4227
93,Terminator 3: Rise of the Machines,200000000,Action Thriller Science Fiction,296,en,69.405188,02-07-03,435000000,109,5.9,2143
94,Guardians of the Galaxy,170000000,Action Science Fiction Adventure,118340,en,481.098624,30-07-14,773328629,121,7.9,9742
95,Interstellar,165000000,Adventure Drama Science Fiction,157336,en,724.247784,05-11-14,675120017,169,8.1,10867
96,Inception,160000000,Action Thriller Science Fiction Mystery Adventure,27205,en,167.58371,14-07-10,825532764,148,8.1,13752
97,Shin Godzilla,15000000,Action Adventure Drama Horror Science Fiction,315011,ja,9.476999,29-07-16,77000000,120,6.5,143
98,The Hobbit: An Unexpected Journey,250000000,Adventure Fantasy Action,49051,en,108.849621,26-11-12,1021103568,169,7,8297
99,The Fast and the Furious,38000000,Action Crime Thriller,9799,en,6.909942,22-06-01,207283925,106,6.6,3428
100,The Curious Case of Benjamin Button,150000000,Fantasy Drama Thriller Mystery Romance,4922,en,60.269279,24-11-08,333932083,166,7.3,3292
101,X-Men: First Class,160000000,Action Science Fiction Adventure,49538,en,3.195174,24-05-11,353624124,132,7.1,5181
102,The Hunger Games: Mockingjay - Part 2,160000000,Action Adventure Science Fiction,131634,en,127.284427,18-11-15,653428261,137,6.6,3984
103,The Sorcerer's Apprentice,150000000,Fantasy Adventure Action Comedy Drama,27022,en,35.580815,13-07-10,215283742,109,5.8,1470
104,Poseidon,160000000,Adventure Action Drama Thriller,503,en,21.133748,12-05-06,181674817,99,5.5,583
105,Alice Through the Looking Glass,170000000,Fantasy,241259,en,56.268916,25-05-16,299370084,113,6.5,1725
106,Shrek the Third,160000000,Fantasy Adventure Animation Comedy Family,810,en,42.986467,17-05-07,798958165,93,6,2278
107,Warcraft,160000000,Action Adventure Fantasy,68735,en,63.148529,25-05-16,433677183,123,6.3,2268
108,Terminator Genisys,155000000,Science Fiction Action Thriller Adventure,87101,en,202.042635,23-06-15,440603537,126,5.8,3631
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,Adventure Family Fantasy,10140,en,49.661984,13-08-10,415686217,113,6.2,1514
110,Pearl Harbor,140000000,History Romance War,676,en,34.20669,21-05-01,449220945,183,6.6,1791
111,Transformers,150000000,Adventure Science Fiction Action,1858,en,25.468493,27-06-07,709709780,144,6.6,4040
112,Alexander,155000000,War History Action Adventure Drama,1966,en,39.019229,21-11-04,167298192,175,5.6,927
113,Harry Potter and the Order of the Phoenix,150000000,Adventure Fantasy Family Mystery,675,en,78.144395,28-06-07,938212738,138,7.4,5494
114,Harry Potter and the Goblet of Fire,150000000,Adventure Fantasy Family,674,en,101.250416,05-11-05,895921036,157,7.5,5608
115,Hancock,150000000,Fantasy Action,8960,en,56.758411,01-07-08,624029371,92,6.2,2961
116,I Am Legend,150000000,Drama Horror Action Thriller Science Fiction,6479,en,70.867401,14-12-07,585349010,101,6.9,4853
117,Charlie and the Chocolate Factory,150000000,Adventure Comedy Family Fantasy,118,en,53.905592,13-07-05,474968763,115,6.7,3624
118,Ratatouille,150000000,Animation Comedy Family Fantasy,2062,en,65.677399,22-06-07,623722818,111,7.5,4369
119,Batman Begins,150000000,Action Crime Drama,272,en,115.040024,10-06-05,374218673,140,7.5,7359
120,Madagascar: Escape 2 Africa,150000000,Family Animation,10527,en,44.141021,30-10-08,603900354,89,6.2,1810
121,Night at the Museum: Battle of the Smithsonian,150000000,Adventure Fantasy Action Comedy Family,18360,en,81.781591,20-05-09,413106170,105,5.9,1971
122,X-Men Origins: Wolverine,150000000,Adventure Action Thriller Science Fiction,2080,en,5.954334,28-04-09,373062864,107,6.2,4021
123,The Matrix Revolutions,150000000,Adventure Action Thriller Science Fiction,605,en,73.313918,05-11-03,424988211,129,6.4,3096
124,Frozen,150000000,Animation Adventure Family,109445,en,165.125366,27-11-13,1274219009,102,7.3,5295
125,The Matrix Reloaded,150000000,Adventure Action Thriller Science Fiction,604,en,70.78591,15-05-03,738599701,138,6.7,3443
126,Thor: The Dark World,170000000,Action Adventure Fantasy,76338,en,99.499595,29-10-13,644571402,112,6.8,4755
127,Mad Max: Fury Road,150000000,Action Adventure Science Fiction Thriller,76341,en,434.278564,13-05-15,378858340,120,7.2,9427
128,Angels & Demons,150000000,Thriller Mystery,13448,en,67.447636,13-05-09,356613439,138,6.5,2129
129,Thor,150000000,Adventure Fantasy Action,10195,en,86.493424,21-04-11,449326618,115,6.6,6525
130,Bolt,150000000,Animation Family Adventure Comedy,13053,en,41.845878,21-11-08,309979994,98,6.3,1750
131,G-Force,150000000,Fantasy Action Adventure Family Comedy,19585,en,26.710398,21-07-09,292817841,88,5.1,510
132,Wrath of the Titans,150000000,Adventure,57165,en,44.927635,27-03-12,301000000,99,5.5,1431
133,Dark Shadows,150000000,Comedy Fantasy,62213,en,50.306728,08-05-12,245527149,113,5.7,2320
134,Mission: Impossible - Rogue Nation,150000000,Action Adventure Thriller,177677,en,114.522237,23-07-15,682330139,131,7.1,3224
135,The Wolfman,150000000,Drama Horror Thriller,7978,en,21.214571,11-02-10,0,102,5.5,549
136,Bee Movie,150000000,Family Animation Adventure Comedy,5559,en,29.332905,28-10-07,287594577,91,5.7,1171
137,Kung Fu Panda 2,150000000,Animation Family,49444,en,51.247321,25-05-11,665692281,91,6.7,1880
138,The Last Airbender,150000000,Action Adventure Family Fantasy,10196,en,33.769336,30-06-10,318502923,103,4.7,1151
139,Mission: Impossible III,150000000,Adventure Action Thriller,956,en,63.079003,03-05-06,397850012,126,6.5,2028
140,White House Down,150000000,Action Drama Thriller,117251,en,39.004588,27-06-13,205366737,131,6.4,1891
141,Mars Needs Moms,150000000,Adventure Animation Family,50321,en,12.362599,09-03-11,38992758,88,5.5,199
142,Flushed Away,149000000,Adventure Animation Comedy Family,11619,en,22.550135,22-10-06,64459316,85,6,874
143,Pan,150000000,Adventure Family Fantasy,266647,en,48.03528,24-09-15,128388320,111,5.9,954
144,Mr. Peabody & Sherman,145000000,Animation Adventure Family,82703,en,38.73494,07-02-14,272912430,92,6.7,843
145,Troy,175000000,Adventure Drama War,652,en,66.803149,13-05-04,497409852,163,6.9,2759
146,Madagascar 3: Europe's Most Wanted,145000000,Animation Family,80321,en,44.989192,06-06-12,746921274,93,6.4,1808
147,Die Another Day,140000000,Adventure Action Thriller,36669,en,54.159392,17-11-02,431971116,133,5.8,1092
148,Ghostbusters,144000000,Action Fantasy Comedy,43074,en,66.21806,14-07-16,229147509,116,5.3,2142
149,Armageddon,140000000,Action Thriller Science Fiction Adventure,95,en,58.485967,01-07-98,553799566,151,6.4,2482
150,Men in Black II,140000000,Action Adventure Comedy Science Fiction,608,en,91.332849,03-07-02,441818803,88,6,3114
151,Beowulf,70000000,Adventure Action Animation,2310,en,35.601665,05-11-07,195735876,115,5.5,841
152,Kung Fu Panda 3,145000000,Action Adventure Animation Comedy Family,140300,en,56.747978,23-01-16,521170825,95,6.7,1603
153,Mission: Impossible - Ghost Protocol,145000000,Action Thriller Adventure,56292,en,77.77477,07-12-11,694713380,133,6.8,3972
154,Rise of the Guardians,145000000,Fantasy Animation Family,81188,en,61.788035,21-11-12,306941670,97,7.1,1922
155,Fun with Dick and Jane,100000000,Comedy,7552,en,25.159168,21-12-05,202026112,90,5.9,627
156,The Last Samurai,140000000,Drama Action War History,616,en,52.341226,05-12-03,456758981,154,7.3,1895
157,Exodus: Gods and Kings,140000000,Adventure Drama Action,147441,en,101.599427,03-12-14,268031828,150,5.6,1921
158,Star Trek,150000000,Science Fiction Action Adventure,13475,en,73.616808,06-05-09,385680446,127,7.4,4518
159,Spider-Man,139000000,Fantasy Action,557,en,82.502566,01-05-02,821708551,121,6.8,5265
160,How to Train Your Dragon 2,145000000,Fantasy Action Adventure Animation Comedy,82702,en,100.21391,12-06-14,609123048,102,7.6,3106
161,Gods of Egypt,140000000,Fantasy,205584,en,56.257249,25-02-16,150680864,127,5.3,1277
162,Stealth,135000000,Action,10048,en,17.88953,28-07-05,76932943,121,4.9,331
163,Watchmen,130000000,Action Mystery Science Fiction,13183,en,64.798873,05-03-09,185258983,163,7,2811
164,Lethal Weapon 4,140000000,Action Adventure Comedy Crime Thriller,944,en,24.855701,10-07-98,285444603,127,6.3,767
165,Hulk,137000000,Drama Action Science Fiction,1927,en,34.981698,19-06-03,245360480,138,5.3,1533
166,G.I. Joe: Retaliation,130000000,Adventure Action Science Fiction Thriller,72559,en,59.325589,26-03-13,371876278,110,5.4,3025
167,Sahara,130000000,Action Adventure Comedy Drama Mystery,7364,en,21.605568,06-04-05,119269486,124,5.7,434
168,Final Fantasy: The Spirits Within,137000000,Adventure Action Animation Fantasy Science Fiction,2114,en,26.074908,02-07-01,85131830,106,5.9,433
169,Captain America: The First Avenger,140000000,Action Adventure Science Fiction,1771,en,74.506246,22-07-11,370569774,124,6.6,7047
170,The World Is Not Enough,135000000,Adventure Action Thriller,36643,en,39.604363,08-11-99,361832400,128,6,862
171,Master and Commander: The Far Side of the World,150000000,Adventure,8619,en,36.973031,14-11-03,212011111,138,6.9,790
172,The Twilight Saga: Breaking Dawn - Part 2,120000000,Adventure Fantasy Drama Romance,50620,en,99.687084,13-11-12,829000000,115,6.1,2553
173,Happy Feet Two,130000000,Animation Comedy Family,65759,en,17.7735,17-11-11,150406466,100,5.8,373
174,The Incredible Hulk,150000000,Science Fiction Action Adventure,1724,en,62.898336,12-06-08,163712074,114,6.1,3021
175,The BFG,140000000,Adventure Family Fantasy,267935,en,44.19092,01-06-16,183345589,120,6,1000
176,The Revenant,135000000,Western Drama Adventure Thriller,281957,en,100.635882,25-12-15,532950503,156,7.3,6396
177,Turbo,135000000,Animation Family,77950,en,44.765377,11-07-13,282570682,96,6.1,1074
178,Rango,135000000,Animation Comedy Family Western Adventure,44896,en,29.91353,02-03-11,245724603,107,6.6,2051
179,Penguins of Madagascar,132000000,Family Animation Adventure Comedy,270946,en,84.366984,22-11-14,373552094,92,6.5,1346
180,The Bourne Ultimatum,70000000,Action Drama Mystery Thriller,2503,en,45.381501,03-08-07,442824138,115,7.3,2888
181,Kung Fu Panda,130000000,Adventure Animation Family Comedy,9502,en,84.689648,04-06-08,631744560,90,6.9,3145
182,Ant-Man,130000000,Science Fiction Action Adventure,102899,en,120.09361,14-07-15,519311965,117,7,5880
183,The Hunger Games: Catching Fire,130000000,Adventure Action Science Fiction,101299,en,76.310119,15-11-13,847423452,146,7.4,6495
184,Home,135000000,Fantasy Comedy Animation Science Fiction Family,228161,en,63.473086,18-03-15,368871007,94,6.8,1519
185,War of the Worlds,132000000,Adventure Thriller Science Fiction,74,en,48.572726,28-06-05,591739379,116,6.2,2322
186,Bad Boys II,130000000,Adventure Action Comedy Thriller Crime,8961,en,38.068736,18-07-03,273339556,147,6.3,1564
187,Puss in Boots,130000000,Action Adventure Animation Family Fantasy,417859,en,20.678787,28-10-11,554987477,90,6.4,451
188,Salt,110000000,Action Mystery Thriller,27576,en,48.829437,21-07-10,293329073,100,6.2,2093
189,Noah,125000000,Drama Adventure,86834,en,46.115758,20-03-14,362637473,139,5.6,2350
190,The Adventures of Tintin,130000000,Adventure Animation Mystery,17578,en,89.938296,25-10-11,371940071,107,6.7,2061
191,Harry Potter and the Prisoner of Azkaban,130000000,Adventure Fantasy Family,673,en,79.679601,31-05-04,789804554,141,7.7,5877
192,Australia,130000000,Drama,6972,en,28.840997,18-11-08,49554002,165,6.3,694
193,After Earth,130000000,Science Fiction Action Adventure,82700,en,42.840582,30-05-13,243843127,100,5,2532
194,Dinosaur,127500000,Animation Family,10567,en,26.548594,19-05-00,354248063,82,6.2,542
195,Night at the Museum: Secret of the Tomb,127000000,Adventure Comedy Fantasy Family,181533,en,115.597753,17-12-14,349424282,97,6.1,1851
196,Megamind,130000000,Animation Action Comedy Family Science Fiction,38055,en,68.757242,28-10-10,321887208,95,6.7,1918
197,Harry Potter and the Philosopher's Stone,125000000,Adventure Fantasy Family,671,en,109.984351,16-11-01,976475550,152,7.5,7006
198,R.I.P.D.,130000000,Fantasy Action Comedy Crime,49524,en,39.448066,18-07-13,61648500,96,5.4,1260
199,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,Adventure Fantasy Action,22,en,271.972889,09-07-03,655011224,143,7.5,6985
200,The Hunger Games: Mockingjay - Part 1,125000000,Science Fiction Adventure Thriller,131631,en,206.227151,18-11-14,752100229,123,6.6,5584
201,The Da Vinci Code,125000000,Thriller Mystery,591,en,45.313197,17-05-06,767820459,149,6.5,2704
202,Rio 2,103000000,Animation Adventure Comedy Family,172385,en,42.40024,19-03-14,500188435,102,6.3,978
203,X2,110000000,Adventure Action Science Fiction Thriller,36658,en,2.871739,24-04-03,407711549,133,6.8,3506
204,Fast Five,125000000,Action Thriller Crime,51497,en,7.255718,20-04-11,626137675,130,7.1,2438
205,Sherlock Holmes: A Game of Shadows,125000000,Adventure Action Crime Mystery,58574,en,81.499621,22-11-11,334615000,129,7,3886
206,Clash of the Titans,125000000,Adventure Fantasy Action,18823,en,47.686442,01-04-10,232713139,106,5.6,2233
207,Total Recall,65000000,Action Adventure Science Fiction,861,en,43.129703,01-06-90,261317921,113,7.1,1710
208,The 13th Warrior,160000000,Adventure Fantasy Action,1911,en,27.220157,27-08-99,61698899,102,6.4,510
209,The Bourne Legacy,130000000,Action Thriller,49040,en,90.33681,08-08-12,276572938,120,6,2651
210,Batman & Robin,125000000,Action Crime Fantasy,415,en,50.073575,20-06-97,238207122,125,4.2,1418
211,How the Grinch Stole Christmas,123000000,Family Comedy Fantasy,8871,en,45.419668,17-11-00,345141403,104,6.2,1386
212,The Day After Tomorrow,125000000,Action Adventure Science Fiction Thriller,435,en,41.380094,26-05-04,544272402,124,6.2,2392
213,Mission: Impossible II,125000000,Adventure Action Thriller,955,en,54.931334,24-05-00,546388105,123,5.9,1928
214,The Perfect Storm,120000000,Drama,2133,en,25.752118,15-03-00,325756637,130,6.2,597
215,Fantastic 4: Rise of the Silver Surfer,130000000,Adventure Fantasy Action Thriller,1979,en,60.810723,13-06-07,289047763,92,5.4,2589
216,Life of Pi,120000000,Adventure Drama Action,87827,en,51.328145,20-11-12,609016565,127,7.2,5797
217,Ghost Rider,110000000,Thriller Action Fantasy Horror,1250,en,46.834704,16-02-07,228738393,114,5.2,1712
218,Jason Bourne,120000000,Action Thriller,324668,en,62.641286,27-07-16,415484914,123,5.9,2341
219,Charlie's Angels: Full Throttle,120000000,Action Adventure Comedy,9471,en,33.616115,27-06-03,259175788,106,5.2,914
220,Prometheus,130000000,Science Fiction Adventure Mystery,70981,en,68.889395,30-05-12,403170142,124,6.3,5080
221,Stuart Little 2,120000000,Family Adventure Animation Comedy,10996,en,27.990284,19-07-02,169956806,78,5.4,613
222,Elysium,115000000,Science Fiction Action Drama Thriller,68724,en,67.33767,07-08-13,286140700,109,6.4,3439
223,The Chronicles of Riddick,105000000,Action Science Fiction,2789,en,27.835436,11-06-04,115772733,119,6.3,1570
224,RoboCop,120000000,Action Science Fiction,97020,en,66.757869,30-01-14,242688965,102,5.7,2342
225,Speed Racer,120000000,Action Family Science Fiction,7459,en,17.060695,09-05-08,93945766,135,5.7,354
226,How Do You Know,120000000,Comedy Drama Romance,42888,en,11.137655,17-12-10,48668907,121,4.9,223
227,Knight and Day,117000000,Action Comedy,37834,en,44.906918,15-06-10,261930431,109,5.9,1547
228,Oblivion,120000000,Action Science Fiction Adventure Mystery,75612,en,67.698004,10-04-13,286168572,124,6.4,4800
229,Star Wars: Episode III - Revenge of the Sith,113000000,Science Fiction Adventure Action,1895,en,44.108427,17-05-05,850000000,140,7.1,4116
230,Star Wars: Episode II - Attack of the Clones,120000000,Adventure Action Science Fiction,1894,en,43.987061,15-05-02,649398328,142,6.4,3992
231,"Monsters, Inc.",115000000,Animation Comedy Family,585,en,106.815545,01-11-01,562816256,92,7.5,5996
232,The Wolverine,120000000,Action Science Fiction Adventure Fantasy,76170,en,15.953444,23-07-13,415440673,126,6.3,4053
233,Star Wars: Episode I - The Phantom Menace,115000000,Adventure Action Science Fiction,1893,en,54.035265,19-05-99,924317558,136,6.3,4432
234,The Croods,135000000,Adventure Animation Comedy Family Fantasy,49519,en,64.183321,20-03-13,585178928,98,6.8,2399
235,Asterix at the Olympic Games,97250400,Fantasy Adventure Comedy Family,2395,fr,20.344364,13-01-08,132900000,116,5,471
236,Windtalkers,115000000,Drama Action History War,12100,en,18.714197,14-06-02,77628265,134,5.8,341
237,The Huntsman: Winter's War,115000000,Action Adventure Drama,290595,en,60.467984,06-04-16,164602163,114,6,1523
238,Teenage Mutant Ninja Turtles,125000000,Science Fiction Action Adventure Fantasy Comedy,98566,en,143.350376,07-08-14,477200000,101,5.8,2636
239,Gravity,105000000,Science Fiction Thriller Drama,49047,en,110.153618,27-09-13,716392705,91,7.3,5751
240,Dante's Peak,116000000,Action Adventure Thriller,9619,en,16.90444,07-02-97,178127760,108,5.7,428
